Time (s),T (C),RH,v (m/s)
0.00916,24.9916992,60.0831032,1.99E-02
0.0183,24.9987488,60.0625801,2.30E-02
0.0275,24.9959106,60.070961,1.67E-02
0.0367,25.0031738,60.0501595,5.62E-03
0.0458,25.0038757,60.048008,1.69E-02
0.055,25.0080261,60.0362892,9.78E-03
0.0642,25.0014648,60.0549583,1.94E-02
0.0734,25.004364,60.0467072,4.77E-03
0.0825,24.9961853,60.0702362,8.49E-03
0.0917,24.9922791,60.0814629,1.64E-02
0.101,24.9840088,60.1050301,1.88E-02
0.109997027,24.9857178,60.1002274,1.56E-02
0.119136818,24.9915466,60.0833702,1.76E-02
0.128270686,24.9886169,60.0917931,1.16E-02
0.137410909,24.9854126,60.1010399,1.57E-02
0.146552384,24.9832153,60.1073914,7.38E-03
0.155689999,24.9883118,60.0927696,2.77E-02
0.164820284,24.9833069,60.1072121,3.24E-03
0.173942715,24.9940796,60.0762558,8.21E-03
0.18306078,24.9921265,60.0816956,1.04E-02
0.192185193,24.9987488,60.0628242,8.65E-03
0.201314211,24.9974365,60.0665588,9.84E-03
0.210445866,25.0005188,60.0578117,1.13E-02
0.219579726,25.0029297,60.0508461,8.08E-03
0.22871758,25.0061951,60.0414467,5.21E-03
0.237855434,25.0020447,60.0532875,3.75E-03
0.246991053,24.9997253,60.0600853,4.72E-03
0.256118208,24.9935608,60.0776863,1.89E-02
0.265242577,24.9947815,60.0743217,5.81E-03
0.274369478,24.9934082,60.0781364,4.11E-03
0.283487499,24.9925232,60.0806313,5.84E-03
0.292581797,24.9960327,60.0705795,9.80E-03
0.301668257,24.9939575,60.076458,7.15E-03
0.31074509,24.9889832,60.0907936,1.37E-02
0.319828212,24.9894409,60.0895653,1.16E-02
0.328938037,24.9948425,60.0740089,6.29E-03
0.338047117,24.9942322,60.0757294,3.92E-03
0.347162396,24.9987488,60.0628242,1.74E-02
0.356280029,24.9999084,60.0595474,2.51E-03
0.365387499,25.0004272,60.0579605,1.62E-02
0.374486238,24.9976807,60.0658531,4.80E-03
0.383586258,24.9988403,60.0625572,1.76E-03
0.392697304,24.9986267,60.0631104,1.80E-02
0.401792616,24.9961243,60.0704269,4.32E-03
0.41088745,24.9968567,60.0682678,1.01E-02
0.419999957,24.9967041,60.0686493,2.77E-03
0.429084033,24.997467,60.0664215,4.13E-03
0.43812269,24.9928589,60.0797462,6.69E-03
0.447143167,24.9983521,60.063942,7.09E-03
0.456165075,24.9945374,60.0748367,4.34E-03
0.465188712,24.9993896,60.0610428,1.49E-02
0.474219054,24.9951477,60.073204,7.87E-03
0.483253509,25.0004272,60.057991,5.56E-03
0.492292613,24.9953918,60.072403,7.94E-03
0.501315415,24.9982605,60.0642281,8.17E-03
0.510335922,24.9943848,60.0752831,1.20E-02
0.519349098,24.9989929,60.0620804,7.80E-03
0.528351963,24.9953918,60.0723801,7.08E-03
0.537332058,24.9983826,60.063839,3.61E-03
0.546293616,24.9996338,60.060154,5.02E-03
0.555246532,24.9963989,60.0695381,7.12E-03
0.564223409,24.9952087,60.0730057,8.13E-03
0.573243678,24.9962463,60.070015,8.19E-03
0.582313061,24.9985962,60.0632324,1.69E-03
0.591374874,24.9981079,60.0646248,3.37E-03
0.600432277,24.9980774,60.0647583,7.70E-03
0.609510422,24.9946594,60.0746078,5.38E-03
0.618597507,24.9973755,60.0667,6.06E-03
0.627687693,24.9951172,60.073246,7.10E-03
0.636748374,24.9963074,60.0697823,1.25E-03
0.645759404,24.9966736,60.0687675,6.12E-03
0.654726267,24.9978027,60.0655632,1.84E-03
0.663684726,24.9966736,60.0687485,3.18E-03
0.672652543,24.9961243,60.0703125,3.94E-03
0.681618512,24.9963684,60.0696487,9.65E-03
0.690573454,24.9978943,60.0652504,6.64E-03
0.699532747,24.9975281,60.066288,7.47E-03
0.708469868,24.9963989,60.0695419,4.95E-03
0.717393696,24.9968872,60.0681305,3.84E-03
0.726320207,24.9959412,60.0708466,5.54E-03
0.735264361,24.9984131,60.0637436,2.03E-03
0.744226813,24.996521,60.0691872,6.43E-03
0.753194869,24.9960327,60.0706215,1.71E-03
0.762123168,24.9951477,60.0731544,3.40E-03
0.771021783,24.9957886,60.0712547,5.59E-03
0.779953182,24.9962463,60.0700035,3.66E-03
0.788864851,24.9968872,60.0681305,2.63E-03
0.797776103,24.9955139,60.072094,3.69E-03
0.80670476,24.9969177,60.0680656,1.14E-03
0.815635979,24.9959412,60.0708466,1.12E-03
0.824576914,24.9962158,60.0700569,9.81E-03
0.833525717,24.9976807,60.0658493,5.30E-03
0.842442334,24.9958191,60.0711899,5.80E-03
0.851339698,24.9977417,60.0656853,6.99E-03
0.860209227,24.9958191,60.0711594,4.55E-03
0.869086266,24.9981689,60.064476,2.17E-03
0.877958417,24.9974976,60.0664368,2.97E-03
0.886821747,24.9983215,60.0640411,5.38E-03
0.895729184,24.9976501,60.0659904,4.21E-03
0.904603601,24.9966125,60.0689545,3.37E-03
0.913499892,24.9968262,60.0683212,5.13E-03
0.922481835,24.9977112,60.0657768,6.30E-03
0.931472898,24.9979248,60.0652046,3.11E-03
0.940425217,24.9972839,60.0670319,1.31E-03
0.949365735,24.9978943,60.0652161,3.94E-03
0.958303571,24.9959412,60.0708618,3.15E-03
0.967216671,24.9971313,60.06744,2.34E-03
0.976150095,24.9969788,60.0678787,4.44E-03
0.985135853,24.9946289,60.0745926,2.96E-03
0.994118333,24.9957275,60.071434,5.96E-03
1.00308895,24.9946899,60.0744553,7.61E-03
1.01205218,24.9951172,60.0732384,4.01E-03
1.02101779,24.995575,60.0719147,1.49E-03
1.02998114,24.9975281,60.0663109,6.40E-03
1.03894782,24.9951477,60.073185,6.29E-03
1.04790461,24.9950562,60.0733986,1.75E-03
1.05684721,24.9958496,60.0710945,5.60E-03
1.06579626,24.9950867,60.0732918,2.46E-03
1.07475674,24.9950867,60.0733337,4.86E-03
1.0837096,24.9955444,60.0719986,2.57E-03
1.09266627,24.9964905,60.0692978,3.43E-03
1.10163534,24.9946594,60.0745392,7.32E-03
1.11059964,24.9979248,60.0651741,5.61E-03
1.11958361,24.9966431,60.06884,3.37E-03
1.12859786,24.997345,60.0668564,6.42E-03
1.13758028,24.9969788,60.0678749,6.05E-03
1.14653707,24.9969788,60.0679054,5.76E-03
1.15548396,24.9960022,60.0707283,1.08E-02
1.16442609,24.9975281,60.066288,8.04E-03
1.17336738,24.9961853,60.0702209,7.57E-03
1.18231106,24.9972534,60.067112,1.06E-02
1.19127464,24.9950867,60.0733032,1.00E-02
1.20022655,24.9943542,60.0754433,5.66E-03
1.20916152,24.9962158,60.0701103,7.97E-03
1.21809137,24.9966736,60.0687561,1.01E-02
1.22699308,24.9951172,60.073246,9.88E-03
1.23584604,24.9953613,60.0725517,8.36E-03
1.24472237,24.9954224,60.072319,5.18E-03
1.25367367,24.9945374,60.0748825,1.06E-02
1.26265287,24.9956055,60.0717888,1.08E-02
1.27162468,24.9968567,60.0682373,8.23E-03
1.28053415,24.9970398,60.0677147,9.03E-03
1.28938806,24.9954529,60.0722923,9.61E-03
1.29818845,24.9945374,60.0748825,1.04E-02
1.30695117,24.9969482,60.0679626,1.02E-02
1.31575179,24.9970093,60.0677948,1.35E-02
1.32464457,24.996521,60.0692291,1.09E-02
1.33351707,24.9967346,60.0686417,1.39E-02
1.34239614,24.9966125,60.0689354,1.61E-02
1.35132432,24.9981689,60.0644417,1.12E-02
1.36028636,24.9967346,60.0686417,1.28E-02
1.36924112,24.997467,60.0664749,1.53E-02
1.37817955,24.9957581,60.0714073,1.20E-02
1.38712299,24.9974976,60.0664215,1.30E-02
1.39608145,24.995697,60.0715637,1.32E-02
1.40500283,24.9970703,60.0676537,1.39E-02
1.41390657,24.9968872,60.068203,1.62E-02
1.42282069,24.9953613,60.0725365,1.23E-02
1.43178582,24.9967957,60.068428,1.50E-02
1.4407177,24.9966736,60.0687866,1.62E-02
1.44960451,24.9977722,60.0656204,1.74E-02
1.45848072,24.9969482,60.0680122,1.36E-02
1.46736312,24.9971313,60.067482,1.67E-02
1.47626531,24.9968262,60.0683517,1.34E-02
1.48520017,24.9968567,60.0682678,1.56E-02
1.49417698,24.9976807,60.065918,1.93E-02
1.50316489,24.9972839,60.0670586,1.24E-02
1.51216626,24.9984741,60.0635948,1.34E-02
1.52116287,24.9981384,60.0646019,1.62E-02
1.53017581,24.9973755,60.0667343,1.60E-02
1.53918076,24.9981079,60.0646362,1.71E-02
1.54817796,24.9966431,60.0688591,1.62E-02
1.5571785,24.997406,60.0666656,1.51E-02
1.5661751,24.996582,60.0690384,1.66E-02
1.57518768,24.9955444,60.0720215,1.79E-02
