Time (s),Temp (C),RH (%), v (m/s),,,
1.02998114,25.0042725,60.0442123,7.53E-03,,,
1.03894782,25.0039978,60.0449677,3.20E-03,,,
1.04790461,25.0039673,60.0451126,4.27E-03,,,
1.05684721,25.0033569,60.0468292,4.90E-03,,,
1.06579626,25.0032654,60.0471306,1.55E-03,,,
1.07475674,25.0054321,60.0408745,1.50E-03,,,
1.0837096,25.0044861,60.0436134,4.15E-03,,,
1.09266627,25.0031433,60.0474129,1.19E-03,,,
1.10163534,25.0031738,60.0473633,4.05E-03,,,
1.11059964,25.0042419,60.0442657,3.10E-03,,,
1.11958361,25.0049438,60.0423088,3.35E-03,,,
1.12859786,25.00177,60.0513649,3.60E-03,,,
1.13758028,25.0026245,60.0489273,1.49E-03,,,
1.14653707,25.0040283,60.0448914,3.66E-03,,,
1.15548396,25.0053711,60.0410538,4.63E-03,,,
1.16442609,25.0044861,60.0436516,3.97E-03,,,
1.17336738,25.0036316,60.0460358,3.59E-03,,,
1.18231106,25.0046997,60.0429878,1.98E-03,,,
1.19127464,25.0047607,60.0428658,4.18E-03,,,
1.20022655,25.0050964,60.0418091,2.68E-03,,,
1.20916152,25.0031128,60.0475235,5.51E-03,,,
1.21809137,25.0018311,60.0511971,2.41E-03,,,
1.22699308,25.0033569,60.0468864,2.24E-03,,,
1.23584604,25.0021973,60.0501823,5.50E-03,,,
1.24472237,25.0024719,60.0493965,2.58E-03,,,
1.25367367,25.0044556,60.0436821,2.93E-03,,,
1.26265287,25.006134,60.0388756,3.87E-03,,,
1.27162468,25.0036926,60.0458794,4.26E-03,,,
1.28053415,25.0048218,60.0426598,4.79E-03,,,
1.28938806,25.0048523,60.0425835,4.84E-03,,,
1.29818845,25.0041504,60.0445671,5.20E-03,,,
1.30695117,25.0040894,60.0447655,3.54E-03,,,
1.31575179,25.0039978,60.0450096,8.64E-03,,,
1.32464457,25.004364,60.0439911,3.71E-03,,,
1.33351707,25.0047607,60.0428085,4.30E-03,,,
1.34239614,25.0043335,60.0440216,5.31E-03,,,
1.35132432,25.0050354,60.0420341,4.04E-03,,,
